,user_id,author,affiliation
94,fdxbFp4AAAAJ,Paolo Bertozzini,"Foreign Expert, Department of Mathematics and Statistics, Thammasat University"
95,dno5C6MAAAAJ,Patcharee Isarankura-Na-Ayudhya,Thammasat University
96,bkSJ0TwAAAAJ,Somchai Supattarakul,"Thammasat Business School, Thammasat University"
97,eY0qi74AAAAJ,Suparuj Lueangarun,"Assistant Professor, Division of Dermatology, Chulabhorn International College of Medicine …"
98,VG8fTU0AAAAJ,John Winward,"lecturer, Thammasat University"
99,7cwN7dIAAAAJ,Prajak Kongkirati,"Faculty of Political Science, Thammasat University"
100,Btx0U58AAAAJ,Nattapong Puttanapong,Thammasat University
101,oJ_14kQAAAAJ,Sajee Sirikrai,"Department of Operations Management, Thammasat Business School"
102,pjbupgEAAAAJ,Nitikorn Noraphaiphipaksa,"Mechanical Engineering, Thammasat University"
103,Cgc8BGwAAAAJ,Tatchalerm Sudhipongpracha,"College of Interdisciplinary Studies, Thammasat University"
104,-z8vR6sAAAAJ,Suthisak Kraisornsuthasinee,"Thammasat Business School, Thammasat University"
105,6GojeM8AAAAJ,Adisorn Juntrasook,Thammasat University
106,sFzkGwMAAAAJ,Tuong Vi Tran,"PhD of Petrochemistry, Thammasat University"
107,SWN6W_QAAAAJ,Chaiyuth Padungsaksawasdi,Thammasat Business School
108,spTpSjkAAAAJ,Laddawan Aiemsomboon,Thammasat University
109,LCVBkkUAAAAJ,Wai Chamornmarn,Thammasat university
110,fivSEYsAAAAJ,Pailin Trongmateerut,"Department of Accounting, Thammasat Business School"
111,oGaYAk8AAAAJ,Wararit Panichkitkosolkul,Thammasat University
112,JHAt9hIAAAAJ,Uma Langkulsen,"Faculty of Public Health, Thammasat University"
113,uwsM0J0AAAAJ,Daranee Jareemit,"Faculty of Architecture and Planning, Thammasat University"
114,UCNA6dQAAAAJ,Pokpong Songmuang,"Thammasat University, Department of Computer Science"
115,_K7vu3QAAAAJ,Worapop Suthiwartnarueput,"Department of Pathology and Forensic medicine, Faculty of Medicine, Thammasat University …"
116,3vsR_PYAAAAJ,Nuchada Dumrongsiri,Thammasat University
117,7TAVi-cAAAAJ,Ganchai Tanapornraweekit,Sirindhorn International Institute of Technology
118,NA2hZ_sAAAAJ,Krisada Chaiyasarn,"Department of Civil Engineering, Thammasat University"
119,4oYHGwEAAAAJ,Panichakorn Jaiyong,"Thammasat University, University of Manchester"
120,q3a3c6wAAAAJ,Chainarong Chaktranond,"Department of Mechanical Engineering, Faculty of Engineering, Thammasat University …"
121,hfgLbmsAAAAJ,Kanoktip Pansuksan,Thammasat University
122,AWp-inYAAAAJ,Sophida Sukprasert,"CICM, Thammasat University"
123,JS7ITa0AAAAJ,Wasin Siwasarit,"Department of Economics, Thammasat University"
124,w57gQ0EAAAAJ,Asst.Prof.Dr Songsakdi Rongviriyapanish,"Faculty of Science and Technology, Thammasat University"
125,CIGup-kAAAAJ,Sakol Suethanapornkul,"Department of English and Linguistics, Faculty of Liberal Arts, Thammasat University"
126,u__8k3QAAAAJ,Suthikorn Kingkaew,Thammasat Business School
127,D-gCjy0AAAAJ,Wiroj Limtrakarn,"Professor of Mechanical Engineering, Thammasat University"
128,o656ai0AAAAJ,Patarawan Sangnawakij,"Lecturer of Statistics, Thammasat University"
129,k2XMMGMAAAAJ,Patnaree Srisuphaolarn,Thammasat Business School
130,UxO9m6MAAAAJ,Sirirat Na Ranong,Thammasat University
131,WLlm5VwAAAAJ,Bhuminan Piyathasanan,Lecturer of Thammasat Business School
132,xrKrnPUAAAAJ,Sangdao Wongsai,Thammasat University
